PEACH MANGO ICED TEA,CRAFTED COLD DRINKS,KG01,KG01,1,5,coco cubano,5,1/11/2019,6.9,G,0,Inclusive,6.9,1000,111111,"Peach iced tea, diced mango, mint leaves"
BERRY ICED TEA,CRAFTED COLD DRINKS,KG02,KG02,1,5,coco cubano,5,1/11/2019,6.9,G,0,Inclusive,6.9,1000,111112,"Lemon iced tea, mixed berries, mint leaves"
MANGO LIME GRANITA,CRAFTED COLD DRINKS,KG04,KG04,1,5,coco cubano,5,1/11/2019,7.9,G,0,Inclusive,7.9,1000,111113,"Mango & lime blended ice granita, mixed berries"
PASSION FRUIT GRANITA,CRAFTED COLD DRINKS,KG03,KG03,1,5,coco cubano,5,1/11/2019,7.9,G,0,Inclusive,7.9,1000,111114,"Passionfruit & lime blended ice granita, mixed berries"
Iced coffee with ice cream & whipped cream ,CRAFTED COLD DRINKS,DF34,DF34,1,5,coco cubano,5,1/11/2019,6.5,G,0,Inclusive,6.5,1000,111115,
Mocha over iced coffee,CRAFTED COLD DRINKS,DF35,DF35,1,5,coco cubano,5,1/12/2019,7,G,0,Inclusive,7,1000,111116,
Latte over iced coffee,CRAFTED COLD DRINKS,DF36,DF36,1,5,coco cubano,5,1/13/2019,6,G,0,Inclusive,6,1000,111117,
Long black over iced coffee,CRAFTED COLD DRINKS,DF37,DF37,1,5,coco cubano,5,1/14/2019,5,G,0,Inclusive,5,1000,111118,
CHOCOLATE FRAPPE,CRAFTED COLD DRINKS,DF01,DF01,1,5,coco cubano,5,1/15/2019,7.5,G,0,Inclusive,7.5,1000,111119,"Pure melted chocolate blended with ice cream and ice, topped with whipped cream"
MOCHA FRAPPE,CRAFTED COLD DRINKS,DF02,DF02,1,5,coco cubano,5,1/16/2019,7.9,G,0,Inclusive,7.9,1000,111120,"Espresso and pure melted chocolate blended with ice cream and ice, topped with whipped cream"
CLASSIC MILKSHAKES,CRAFTED COLD DRINKS,DF46,DF46,1,5,coco cubano,5,1/17/2019,6.9,G,0,Inclusive,6.9,1000,111121,"Chocolate, strawberry, caramel, or vanilla "
SALTY CARAMEL SHAKE,CRAFTED COLD DRINKS,DF03,DF03,1,5,coco cubano,5,1/18/2019,9.5,G,0,Inclusive,9.5,1000,111122,"Salted caramel milkshake, chocolate brownie bits,whipped cream, salted caramel fudge "
TRIPLE CHOC SHAKE,CRAFTED COLD DRINKS,DF04,DF04,1,5,coco cubano,5,1/19/2019,9.5,G,0,Inclusive,9.5,1000,111123,"Couverture chocolate milkshake, whipped cream,choc brownie bits "
MOJITO CLAS I CO,COCKTAILS,DF47,DF47,1,5,coco cubano,5,1/20/2019,13.9,G,0,Inclusive,13.9,1000,111124,"Havana Club Rum, raw sugar, mint, fresh lime, soda "
CASTROaS MOJITOS,COCKTAILS,DF05,DF05,1,5,coco cubano,5,1/21/2019,15,G,0,Inclusive,15,1000,111125,"Havana Club 7yo, raw sugar, mint, fresh lime, soda "
